time,count
2026-01-23 00:00:00,-0.3422402296240012
2026-01-24 00:00:00,-0.05614152598937987
2026-01-25 00:00:00,0.0003717981853601422
2026-01-26 00:00:00,-0.40228563655966243
2026-01-27 00:00:00,-0.30603638132455835
2026-01-28 00:00:00,-0.3590176227383771
2026-01-29 00:00:00,-0.4261271951958809
2026-01-30 00:00:00,-0.5276745745723669
2026-01-31 00:00:00,-0.5762407125350341
2026-02-01 00:00:00,-0.661010698797144
2026-02-02 00:00:00,-0.6345200780902347
2026-02-03 00:00:00,-0.5091311400775302
2026-02-04 00:00:00,-0.18771160883369645
2026-02-05 00:00:00,-0.1206020363761927
2026-02-06 00:00:00,-0.36608178826021964
2026-02-07 00:00:00,-0.38904032620620776
2026-02-08 00:00:00,2.482542958422769
2026-02-09 00:00:00,3.1721821174926434
2026-02-10 00:00:00,0.20876468107971394
2026-02-11 00:00:00,-0.449085733141869
2026-02-12 00:00:00,-0.5815388366764159
2026-02-13 00:00:00,-0.623923829807471
2026-02-14 00:00:00,-0.4685121883269359
2026-02-15 00:00:00,-0.6283389332586224
2026-02-16 00:00:00,-0.3846252227550562
2026-02-17 00:00:00,-0.3916893882768987
2026-02-18 00:00:00,-0.4782254159194693
2026-02-19 00:00:00,-0.6486484091339196
